Name,Year,Position,Team,ADP,ProjectedPoints,ActualPoints
Aaron Rodgers,2016,QB,GB,16.59,364.57,458.02
Matt Ryan,2016,QB,ATL,122.81,304.10,423.46
Drew Brees,2016,QB,NO,42.29,363.08,406.32
Andrew Luck,2016,QB,IND,35.63,361.57,369.70
Kirk Cousins,2016,QB,WAS,116.08,336.70,350.28
David Johnson,2016,RB,ARI,5.93,9.65,327.80
Matthew Stafford,2016,QB,DET,106.38,335.55,327.78
Philip Rivers,2016,QB,SD,79.50,331.70,324.94
Derek Carr,2016,QB,OAK,104.29,329.29,324.48
Blake Bortles,2016,QB,JAX,83.94,325.97,316.10
Tom Brady,2016,QB,NE,64.43,273.59,312.56
Jameis Winston,2016,QB,TB,107.06,307.39,312.10
Marcus Mariota,2016,QB,TEN,129.62,300.55,311.94
Tony Romo,2016,QB,DAL,98.86,310.76,0.00
Ben Roethlisberger,2016,QB,PIT,43.44,354.16,310.16
Russell Wilson,2016,QB,SEA,26.84,365.89,310.06
Tyrod Taylor,2016,QB,BUF,117.58,305.26,304.92
Andy Dalton,2016,QB,CIN,112.89,337.79,296.64
Carson Palmer,2016,QB,ARI,57.63,346.08,295.12
Ezekiel Elliott,2016,RB,DAL,11.33,227.08,293.40
Cam Newton,2016,QB,CAR,11.58,390.94,292.26
Joe Flacco,2016,QB,BAL,131.95,286.41,282.48
Eli Manning,2016,QB,NYG,73.76,344.81,276.18
Teddy Bridgewater,2016,QB,MIN,150.39,271.24,0.00
Alex Smith,2016,QB,KC,141.87,285.53,253.78
LeSean McCoy,2016,RB,BUF,26.53,219.38,248.30
DeMarco Murray,2016,RB,TEN,48.39,141.79,242.80
Le'Veon Bell,2016,RB,PIT,11.76,159.20,242.40
Mark Sanchez,2016,QB,DEN,999.00,238.71,0.00
Devonta Freeman,2016,RB,ATL,14.60,202.03,230.10
Ryan Tannehill,2016,QB,MIA,143.54,298.27,228.20
LeGarrette Blount,2016,RB,NE,104.84,119.75,225.90
Adrian Peterson,2016,RB,MIN,7.09,225.11,0.00
Melvin Gordon,2016,RB,SD,71.17,151.99,209.60
Mike Evans,2016,WR,TB,34.06,167.41,208.10
Jordy Nelson,2016,WR,GB,20.02,175.92,207.70
Jamaal Charles,2016,RB,KC,14.82,205.17,0.00
Antonio Brown,2016,WR,PIT,1.71,258.68,201.30
Jordan Howard,2016,RB,CHI,151.09,93.24,201.10
Brock Osweiler,2016,QB,HOU,140.68,316.79,197.98
Mark Ingram,2016,RB,NO,23.94,196.99,196.20
Odell Beckham,2016,WR,NYG,4.82,0.00,195.60
Jay Ajayi,2016,RB,MIA,101.99,89.48,188.30
T.Y. Hilton,2016,WR,IND,36.34,154.06,182.80
Julio Jones,2016,WR,ATL,5.38,226.54,176.90
Frank Gore,2016,RB,IND,79.72,140.76,176.20
Latavius Murray,2016,RB,OAK,32.13,153.91,175.20
Brandin Cooks,2016,WR,NO,36.26,162.88,168.30
Carlos Hyde,2016,RB,SF,39.64,175.04,165.10
Isaiah Crowell,2016,RB,CLE,117.39,117.27,165.10
Michael Thomas,2016,WR,NO,141.41,108.58,163.70
Doug Baldwin,2016,WR,SEA,42.64,132.88,161.60
Spencer Ware,2016,RB,KC,148.13,0.00,160.80
Lamar Miller,2016,RB,HOU,12.98,209.64,160.10
Tevin Coleman,2016,RB,ATL,134.25,84.06,160.10
Keenan Allen,2016,WR,SD,30.10,159.31,0.00
Ryan Fitzpatrick,2016,QB,NYJ,142.72,313.25,157.40
Jeremy Hill,2016,RB,CIN,55.95,137.77,155.30
Todd Gurley,2016,RB,LAR,3.24,220.43,155.20
Matt Forte,2016,RB,NYJ,42.16,173.45,153.60
Michael Crabtree,2016,WR,OAK,90.37,132.31,150.30
Amari Cooper,2016,WR,OAK,36.92,157.34,149.30
Rishard Matthews,2016,WR,TEN,154.60,115.12,146.50
Bilal Powell,2016,RB,NYJ,139.75,99.89,139.00
Jonathan Stewart,2016,RB,CAR,51.16,165.40,138.40
Travis Kelce,2016,TE,KC,64.82,113.68,138.00
Jarvis Landry,2016,WR,MIA,52.39,161.56,137.30
Terrance West,2016,RB,BAL,156.97,70.34,137.00
Larry Fitzgerald,2016,WR,ARI,68.85,147.12,136.80
Demaryius Thomas,2016,WR,DEN,44.22,153.58,136.30
Arian Foster,2016,RB,MIA,77.90,134.32,0.00
Kelvin Benjamin,2016,WR,CAR,45.89,139.77,134.10
Emmanuel Sanders,2016,WR,DEN,67.85,130.65,133.60
Golden Tate,2016,WR,DET,63.60,150.80,132.10
Dez Bryant,2016,WR,DAL,14.93,188.12,132.00
Ryan Mathews,2016,RB,PHI,62.37,156.02,131.60
Mike Wallace,2016,WR,BAL,161.56,73.95,130.80
Julian Edelman,2016,WR,NE,46.65,150.40,130.30
Greg Olsen,2016,TE,CAR,41.45,135.41,127.30
Allen Robinson,2016,WR,JAX,23.88,170.86,126.30
Kyle Rudolph,2016,TE,MIN,158.58,80.35,126.00
DeSean Jackson,2016,WR,WAS,101.78,115.51,124.50
Jimmy Graham,2016,TE,SEA,109.87,99.43,124.30
Delanie Walker,2016,TE,TEN,59.96,116.84,123.10
Pierre Garcon,2016,WR,WAS,160.59,94.50,122.10
Willie Snead,2016,WR,NO,116.50,117.25,121.50
A.J. Green,2016,WR,CIN,14.87,185.54,120.40
DeAndre Hopkins,2016,WR,HOU,11.17,199.46,119.40
